Sweep,Representation,tau,n_illicit,n_matched,seed,mmd2,perm_p,separable,Low_Confidence
BB: Label-Cond Separability Raw-vs-Prop,Raw,13,291,291,2,0.07720540047854452,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,13,291,291,3,0.0773818884562274,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,13,291,291,4,0.07836335088483048,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,13,291,291,5,0.0830067273910644,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,13,291,291,6,0.07709936198996936,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,13,291,291,7,0.08808001399029841,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,13,291,291,8,0.08170342042588685,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,13,291,291,9,0.08220142555193055,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,14,43,43,0,0.10529010306071385,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,14,43,43,1,0.12408406205733002,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,14,43,43,2,0.09420320806543381,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,14,43,43,3,0.08682698742584072,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,14,43,43,4,0.12406558718582672,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,14,43,43,5,0.11505520704249084,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,14,43,43,6,0.12830824281649877,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,14,43,43,7,0.1271440041117975,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,14,43,43,8,0.10902384306488555,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,14,43,43,9,0.09969160165662116,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,15,147,147,0,0.13624571496071614,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,15,147,147,1,0.10941697268520656,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,15,147,147,2,0.1111561155133498,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,15,147,147,3,0.11351507663478055,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,15,147,147,4,0.11654248866817496,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,15,147,147,5,0.09936693916698336,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,15,147,147,6,0.10030784430325124,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,15,147,147,7,0.10741185616906801,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,15,147,147,8,0.11534183896924355,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,15,147,147,9,0.10564095450471256,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,16,128,128,0,0.0654115781780833,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,16,128,128,1,0.07504846612853378,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,16,128,128,2,0.0806271447424618,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,16,128,128,3,0.08289749884997777,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,16,128,128,4,0.07467056999006294,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,16,128,128,5,0.08672723967713125,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,16,128,128,6,0.07226440175374016,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,16,128,128,7,0.0699678397765442,0.000999000999000999,1,0
