Seed,Variation,Sweep,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method,Static_Time_s,Static_Mem_MB,Static_Val_Pooled_F1,Static_Val_Pooled_PRAUC,Static_Val_Macro_F1,Static_Val_Macro_PRAUC,Static_OOT_Pooled_F1,Static_OOT_Pooled_PRAUC,Static_OOT_Macro_F1,Static_OOT_Macro_PRAUC,WF_Time_s,WF_Mem_MB,WF_Pooled_F1,WF_Pooled_PRAUC,WF_Macro_F1,WF_Macro_PRAUC,WF_Pre43_Pooled_F1,WF_Pre43_PRAUC,WF_Shock_F1,WF_Shock_PRAUC,WF_Recovery_Pooled_F1,WF_Recovery_PRAUC,Selfcond_Bug,Notes
42,Base,"NoMP Grid: K=2, Dir=F, Topo=early",N/A,2,False,False,early,N/A,0.5,7.933,1.56,0.839,0.9,0.762,0.811,0.33,0.34,0.198,0.299,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"NoMP Grid: K=3, Dir=F, Topo=None",N/A,3,False,False,None,N/A,0.5,7.962,1.58,0.804,0.886,0.742,0.817,0.418,0.417,0.245,0.331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"NoMP Grid: K=3, Dir=F, Topo=late",N/A,3,False,False,late,N/A,0.5,8.338,1.55,0.83,0.907,0.73,0.795,0.251,0.345,0.16,0.284,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"NoMP Grid: K=3, Dir=F, Topo=early",N/A,3,False,False,early,N/A,0.5,7.936,1.57,0.805,0.869,0.746,0.792,0.381,0.322,0.238,0.293,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=1, Dir=F, Topo=None",N/A,1,True,False,None,N/A,0.5,10.479,1.54,0.871,0.823,0.816,0.791,0.33,0.185,0.202,0.165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=1, Dir=F, Topo=late",N/A,1,True,False,late,N/A,0.5,9.953,1.55,0.875,0.928,0.817,0.836,0.402,0.319,0.224,0.266,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=1, Dir=F, Topo=early",N/A,1,True,False,early,N/A,0.5,9.72,1.55,0.853,0.854,0.803,0.847,0.377,0.278,0.233,0.236,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=1, Dir=T, Topo=None",N/A,1,True,True,None,N/A,0.5,14.028,1.55,0.805,0.863,0.765,0.831,0.373,0.357,0.239,0.271,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=1, Dir=T, Topo=late",N/A,1,True,True,late,N/A,0.5,14.357,1.56,0.865,0.932,0.79,0.839,0.41,0.323,0.23,0.234,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=1, Dir=T, Topo=early",N/A,1,True,True,early,N/A,0.5,19.032,1.52,0.882,0.938,0.81,0.829,0.249,0.198,0.139,0.177,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
