Sweep,Variation,tau,seed,shuffle_flag,M,beta0_total_pers,beta1_total_pers,beta1_max_life,pers_entropy_h0,pers_entropy_h1,wasserstein_h0_to_next,wasserstein_h1_to_next,wasserstein_combined_to_next,mmd2_to_next,Low_Confidence
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,9,2,0,800,,,,,,,,,0.007094025611877441,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,10,2,0,800,,,,,,,,,0.005669593811035156,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,11,2,0,800,,,,,,,,,0.013455867767333984,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,12,2,0,800,,,,,,,,,0.01398766040802002,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,13,2,0,800,,,,,,,,,0.008339881896972656,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,14,2,0,800,,,,,,,,,0.008427619934082031,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,15,2,0,800,,,,,,,,,0.0021920204162597656,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,16,2,0,800,,,,,,,,,0.014858603477478027,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,17,2,0,800,,,,,,,,,0.008941411972045898,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,18,2,0,800,,,,,,,,,0.011536598205566406,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,19,2,0,800,,,,,,,,,0.004965662956237793,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,20,2,0,800,,,,,,,,,0.00786590576171875,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,21,2,0,800,,,,,,,,,0.016825556755065918,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,22,2,0,800,,,,,,,,,0.004755616188049316,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,23,2,0,800,,,,,,,,,0.008307874202728271,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,24,2,0,800,,,,,,,,,0.023607850074768066,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,25,2,0,800,,,,,,,,,0.003976583480834961,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,26,2,0,800,,,,,,,,,0.00726008415222168,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,27,2,0,800,,,,,,,,,0.008662819862365723,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,28,2,0,800,,,,,,,,,0.0038796663284301758,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,29,2,0,800,,,,,,,,,0.004156351089477539,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,30,2,0,800,,,,,,,,,0.009036779403686523,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,31,2,0,800,,,,,,,,,0.004846453666687012,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,32,2,0,800,,,,,,,,,0.01018059253692627,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,33,2,0,800,,,,,,,,,0.009359955787658691,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,34,2,0,800,,,,,,,,,0.003601670265197754,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,35,2,0,800,,,,,,,,,0.006446480751037598,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,36,2,0,800,,,,,,,,,0.00604701042175293,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,37,2,0,800,,,,,,,,,0.0046846866607666016,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,38,2,0,800,,,,,,,,,0.013428568840026855,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,39,2,0,800,,,,,,,,,0.013796031475067139,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,40,2,0,800,,,,,,,,,0.01692366600036621,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,41,2,0,800,,,,,,,,,0.002842545509338379,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,42,2,0,800,,,,,,,,,0.010436177253723145,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,43,2,0,800,,,,,,,,,0.017859220504760742,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,44,2,0,800,,,,,,,,,0.009658098220825195,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,45,2,0,800,,,,,,,,,0.024515271186828613,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,46,2,0,800,,,,,,,,,0.017791271209716797,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,47,2,0,800,,,,,,,,,0.003959059715270996,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,48,2,0,800,,,,,,,,,0.009960412979125977,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,1,3,0,800,,,,,,,,,0.00556027889251709,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,2,3,0,800,,,,,,,,,0.009669899940490723,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,3,3,0,800,,,,,,,,,0.018474936485290527,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,4,3,0,800,,,,,,,,,0.011159062385559082,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,5,3,0,800,,,,,,,,,0.027904868125915527,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,6,3,0,800,,,,,,,,,0.025317788124084473,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,7,3,0,800,,,,,,,,,0.012376070022583008,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,8,3,0,800,,,,,,,,,0.010860919952392578,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,9,3,0,800,,,,,,,,,0.007757663726806641,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,10,3,0,800,,,,,,,,,0.006712555885314941,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,11,3,0,800,,,,,,,,,0.0108642578125,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,12,3,0,800,,,,,,,,,0.0153733491897583,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,13,3,0,800,,,,,,,,,0.01330101490020752,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,14,3,0,800,,,,,,,,,0.008101820945739746,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,15,3,0,800,,,,,,,,,0.0009529590606689453,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,16,3,0,800,,,,,,,,,0.013894438743591309,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,17,3,0,800,,,,,,,,,0.010066390037536621,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,18,3,0,800,,,,,,,,,0.015196442604064941,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,19,3,0,800,,,,,,,,,0.007234334945678711,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,20,3,0,800,,,,,,,,,0.009015083312988281,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,21,3,0,800,,,,,,,,,0.017312288284301758,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,22,3,0,800,,,,,,,,,0.0036226511001586914,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,23,3,0,800,,,,,,,,,0.006750583648681641,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,24,3,0,800,,,,,,,,,0.019318103790283203,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,25,3,0,800,,,,,,,,,0.004408597946166992,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,26,3,0,800,,,,,,,,,0.006373882293701172,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,27,3,0,800,,,,,,,,,0.006965160369873047,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,28,3,0,800,,,,,,,,,0.00570988655090332,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,29,3,0,800,,,,,,,,,0.005469322204589844,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,30,3,0,800,,,,,,,,,0.009491682052612305,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,31,3,0,800,,,,,,,,,0.004666924476623535,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,32,3,0,800,,,,,,,,,0.010549187660217285,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,33,3,0,800,,,,,,,,,0.010083198547363281,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,34,3,0,800,,,,,,,,,0.005351543426513672,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,35,3,0,800,,,,,,,,,0.006623387336730957,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,36,3,0,800,,,,,,,,,0.007968425750732422,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,37,3,0,800,,,,,,,,,0.007928252220153809,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,38,3,0,800,,,,,,,,,0.013681650161743164,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,39,3,0,800,,,,,,,,,0.01499319076538086,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,40,3,0,800,,,,,,,,,0.018828272819519043,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,41,3,0,800,,,,,,,,,0.002520442008972168,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,42,3,0,800,,,,,,,,,0.008089542388916016,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,43,3,0,800,,,,,,,,,0.01447141170501709,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,44,3,0,800,,,,,,,,,0.009788036346435547,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,45,3,0,800,,,,,,,,,0.02025216817855835,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,46,3,0,800,,,,,,,,,0.014763951301574707,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,47,3,0,800,,,,,,,,,0.0038080215454101562,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,48,3,0,800,,,,,,,,,0.00921022891998291,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,1,4,0,800,,,,,,,,,0.005601644515991211,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,2,4,0,800,,,,,,,,,0.007578730583190918,0
